SERVICE_RH;ID_NAT_FRT;CLE_FRT_MINI;SURFACE_CADASTRALE;DOMANIAL;CADRE_LEGAL_GESTION;DATE_EXPIRATION_CONTRAT;CODE_CHORUS;CLASSEMENT_AGRICOLE;TYPE_COPROPRIETE;PROPRIO_CATEGORIE;PROPRIO_CCLIENT;PROPRIO_MOT_DIR;LIBELLE_ARTICLE;LIBELLE_STRICT;LIBELLE_USAGE;REPRESENTANT_CATEGORIE;REPRESENTANT_CCLIENT;REPRESENTANT_MOT_DIR;REPRESENTANT_COMMENTAIRE;REPRESENTANT_LIB;REPRESENTANT_CP;REPRESENTANT_COMMUNE;REGROUPEMENT_ID_NAT_FRT;REGROUPEMENT_LIBELLE;FORET_COMMENTAIRE;DEPARTEMENT_MAJORITAIRE;DATE_DEBUT_VALIDITE;DATE_FIN_VALIDITE
8020;F08690F;BENFELD;153,4261;NON;RF;;;PLAINE;X;21;2,167E+13;CFOBENFELD;de;benfeld;Forêt communale de Benfeld;;2,167E+13;CFOBENFELD;;COMMUNE de BENFELD ;67230;BENFELD;;;;67;01/01/1964;31/12/9999
8020;F09029G;BER;572,7339;NON;RF;;;PLAINE;X;21;2,168E+13;CFOBERGHEI;de;bergheim;Forêt communale de Bergheim;2;2,168E+13;CFOBERGHEI;;COMMUNE de BERGHEIM ;68750;BERGHEIM;;;;68;01/01/1964;31/12/9999
8020;F08303I;BERGHOLT;80,5346;NON;RF;;;PLAINE;X;21;2,168E+13;CFOBERGHOL;de;bergholtz;Forêt communale de Bergholtz;2;2,168E+13;CFOBERGHOL;;COMMUNE de BERGHOLTZ ;68500;BERGHOLTZ;;;;68;01/01/1964;31/12/9999
8020;F08552X;BERGHOZL;109,0603;NON;RF;;;PLAINE;X;21;2,168E+13;CFOBERGHOZ;de;bergholtz-zell;Forêt communale de Bergholtz-Zell;2;2,168E+13;CFOBERGHOZ;;COMMUNE de BERGHOLTZ-ZELL ;68500;BERGHOLTZ ZELL;;;;68;01/01/1964;31/12/9999
8020;F08776N;BIECHELE;35,5234;NON;RF;;;PLAINE;X;39;3,79176E+13;ASMARBACH;de l';association de l'abbaye de marbach;Forêt de l'Association De L'Abbaye De Marbach;;3,79176E+13;ASMARBACH;;ASSOCIATION DE L'ABBAYE DE MARBA ;68420;OBERMORSCHWIHR;;;;68;01/01/1964;31/12/9999
8020;F08723M;BIESHEIM;362,7382;NON;RF;;;PLAINE;X;21;2,168E+13;CFOBIESHEI;de;biesheim;Forêt communale de Biesheim;2;2,168E+13;CFOBIESHEI;;COMMUNE de BIESHEIM ;68600;BIESHEIM;;;;68;01/01/1964;31/12/9999
8020;F08988R;BINDERNH;49,6907;NON;RF;;;PLAINE;X;21;2,167E+13;CFOBINDERN;de;bindernheim;Forêt communale de Bindernheim;2;2,167E+13;CFOBINDERN;;COMMUNE de BINDERNHEIM ;67600;BINDERNHEIM;;;;67;01/01/1964;31/12/9999
8020;F08452B;BOLSENHE;29,2;NON;RF;;;PLAINE;X;21;2,16701E+13;CFOBOLSENH;de;bolsenheim;Forêt communale de Bolsenheim;2;2,16701E+13;CFOBOLSENH;;COMMUNE DE BOLSENHEIM ;67150;BOLSENHEIM;;;;67;01/01/1964;31/12/9999
8020;F08997A;BON;1199,7776;NON;RF;;;MONTAGNE;X;21;2,168E+13;CFOBONHOMM;du;bonhomme;Forêt communale du Bonhomme;2;2,168E+13;CFOBONHOMM;;COMMUNE de LE BONHOMME ;68650;LE BONHOMME;;;;68;01/01/1964;31/12/9999
8020;F08378F;BOOFZHEI;71,92;NON;RF;;;PLAINE;X;21;2,16701E+13;CFOBOOFZHE;de;boofzheim;Forêt communale de Boofzheim;2;2,16701E+13;CFOBOOFZHE;;COMMUNE de BOOFZHEIM ;67860;BOOFZHEIM;;;;67;01/01/1964;31/12/9999
8020;F08470T;BOOTZHEI;98,152;NON;RF;;;PLAINE;X;21;2,16701E+13;CFOBOOTZHE;de;bootzheim;Forêt communale de Bootzheim;2;2,16701E+13;CFOBOOTZHE;;COMMUNE de BOOTZHEIM ;67390;BOOTZHEIM;;;;67;01/01/1964;31/12/9999
8020;F08729S;BREITENB;532,199;NON;RF;;;MONTAGNE;X;21;2,16801E+13;CFOBREITEH;de;breitenbach 68;Forêt communale de Breitenbach 68;2;2,16801E+13;CFOBREITEH;;COMMUNE de BREITENBACH ;68380;BREITENBACH;;;;68;01/01/1964;31/12/9999
8020;F08815A;BRISACH;33,0638;OUI;RF;;173463/343758;;X;1;1,1007E+13;MINAGRI;de;brisach;Forêt domaniale de Brisach;1;6,62043E+13;ONFDG;;ETABLISSEMENT DIRECTION GENERALE L'O,N,F,;75570;PARIS CEDEX 12;;;;68;01/01/1964;31/12/9999
8020;F08671M;BUHL;251,6159;NON;RF;;;MONTAGNE;X;21;2,16801E+13;CFOBUHL68;de;buhl;Forêt communale de Buhl;;2,16801E+13;CFOBUHL68;;COMMUNE DE BUHL ;68530;BUHL;;;;68;01/01/1964;31/12/9999
8020;F08943Y;CHATENOI;180,6109;NON;RF;;;PLAINE;X;21;2,16701E+13;CFO67730CH;de;châtenois;Forêt communale de Châtenois;2;2,16701E+13;CFO67730CH;;COMMUNE de CHATENOIS ;67730;CHATENOIS;;;;67;01/01/1964;31/12/9999
8020;F08566L;COLMAR;986,1964;NON;RF;;;PLAINE;X;21;2,16801E+13;CFOCOLMAR;de;colmar;Forêt communale de Colmar;2;2,16801E+13;CFOCOLMAR;;COMMUNE DE COLMAR ;68000;COLMAR;;;;68;19/08/2011;31/12/9999
8020;F08567M;COLNEULA;0;NON;NG;;;PLAINE;X;21;2,16801E+13;CFOCOLMAR;de;colmar neuland;Forêt communale de Colmar Neuland;2;2,16801E+13;CFOCOLMAR;;COMMUNE DE COLMAR ;68000;COLMAR;;;;68;01/01/1964;18/08/2011
